Contact Name,Company Name,Email,Website,Description,Products Requested,Language Spoken,,Country
Sales Dept,MetalExportUSA,info@metalexportusa.com,www.metalexportusa.com,"Large-scale exporter of copper and aluminum scrap. Handles full container loads (min 44,000 lbs) with operations in USA, Canada, and India.",Copper and Aluminium scrap,English,,USA
Sourcing Team,SCG International,scginternational@scg.com,scginternational.com,"Global supply chain partner specializing in non-ferrous metals and scrap sourcing (Copper cathode/scrap, Aluminium ingots/billets/UBC) in 50 countries.",Copper and Aluminium scrap,English,Los contacte,USA
Marketing Desk,Glencore Marketing,info@glencore.com,www.glencore.com,"Major global producer and exporter of cobalt hydroxide, copper, and nickel. Operates large-scale assets in DRC, Australia, and Canada.","Cobalt (hydroxides), Copper and Aluminium scrap, Nickel MHP/concentrate",English / French / Spanish,Los contacte,USA
Sales Team,Albemarle Corporation,albsales@albemarle.com,www.albemarle.com,"World's leading producer of lithium and spodumene concentrate with major mining operations in Australia (Greenbushes, Wodgina) and Chile.",Lithium (concentrate),English / Spanish,Los contaxte,USA
Business Development,Trafigura,enquiries@trafigura.com,www.trafigura.com,"Top-tier global commodities trader and exporter of non-ferrous concentrates including copper, nickel MHP, and cobalt.","Nickel MHP/concentrate, Cobalt (hydroxides), Copper and Aluminium scrap",English / French / Spanish,Los contacte,USA
Sales & Marketing,Australian Strategic Materials (ASM),info@asm-au.com,asm-au.com,"Specialized producer and exporter of high-purity rare earth oxides, specifically Dysprosium and Terbium from their Korean Metals Plant.",Rare earth oxides (dysprosium and terbium),English / Korean,Los contacte,USA
Customer Support,MP Materials,info@mpmaterials.com,mpmaterials.com,Leading US-based rare earth producer. Commissioning heavy rare earth separation for Dysprosium and Terbium (expected 2026).,Rare earth oxides (dysprosium and terbium),English,Los contacte,USA
Investor/Sales,PT Vale Indonesia Tbk,ptvi.investorrelation@vale.com,www.vale.com/indonesia,Major nickel producer in Indonesia. Developing significant nickel MHP capacity (120 kilotonnes) for global export.,Nickel MHP/concentrate,English / Indonesian,Los contacte,USA
Sales Dept,International Metal Corporation,info@internationalmetal.com,www.internationalmetal.com,Specializes in recycling and international trade of copper and aluminum scrap for global industrial consumers.,Copper and Aluminium scrap,English,,USA
Sales Team,Molycorp (MP Materials),info@mpmaterials.com,mpmaterials.com,Key supplier of rare earth compounds including terbium and dysprosium oxides.,Rare earth oxides (dysprosium and terbium),English,,USA
Chemical Sales,Todini Chemicals,info@todini.com,www.todini.com,"International distributor of non-ferrous metal oxides and salts, including battery-grade cobalt hydroxide.",Cobalt (hydroxides),English / Italian / Spanish,,USA
Industrial Sales,London Chemicals & Resources Ltd (LCR),info@lcrl.net,lcrl.net,International stockist and supplier of industrial inorganic chemicals including cobalt and nickel compounds.,"Cobalt (hydroxides), Nickel MHP/concentrate",English,,USA
Trading Team,Tradeasia International,contact@chemtradeasia.com,www.chemtradeasia.com,"Global chemical trading company exporting cobalt hydroxide and other battery materials across Asia, EU, and Middle East.",Cobalt (hydroxides),English / Chinese,,USA
Sales Dept,United Metals,info@unitedmetals.in,unitedmetals.in,Sources and exports lithium concentrates (spodumene) from mining operations in Zimbabwe and Tanzania.,Lithium (concentrate),English,,India
Marketing Team,Pilbara Minerals,shareholders@pilbaraminerals.com.au,www.pilbaraminerals.com.au,"Operates one of the world's largest independent hard-rock lithium operations (Pilgangoora), exporting spodumene concentrate.",Lithium (concentrate),English,,Australia
,Arizona Lithium,info@arizonalithium.com,https://arizonalithium.com,Lithium,,English,,USA
,E3 Lithium,invest@e3lithium.ca,https://e3lithium.ca,Lithium,,English,,Canada
,Avalon Advanced Materials,info@avalonam.com,https://avalonadvancedmaterials.com,Lithium & Rare Earths,,English,,USA
,Lithium Argentina,info@lithiumargentina.com,https://lithiumargentina.com,Lithium,,English,,USA
,Argentina Lithium & Energy,info@argentinalithium.com,https://argentinalithium.com,Lithium,,English,,USA
,American Salars Lithium,info@americansalars.com,https://americansalars.com,Lithium,,English,,USA
,Ion Energy,info@ionenergy.ca,https://ionenergy.ca,Lithium,,English,,Canada
,International Lithium Corp,info@internationallithium.com,https://internationallithium.com,Lithium,,English,,USA
,Sayona Mining,info@sayonamining.com.au,https://sayonamining.com.au,Lithium,,English,,Australia
,Lake Resources,info@lakeresources.com.au,https://lakeresources.com.au,Lithium,,English,,Australia
,Abitibi Metals,info@abitibimetals.com,https://abitibimetals.com,Copper,,English,,USA
,Cascade Copper,info@cascadecopper.com,https://cascadecopper.com,Copper,,English,,USA
,Koryx Copper,info@koryxcopper.com,https://koryxcopper.com,Copper,,English,,USA
,World Copper Ltd,info@worldcopperltd.com,https://worldcopperltd.com,Copper,,English,,USA
,Libero Copper,info@liberocopper.com,https://liberocopper.com,Copper,,English,,USA
,Solaris Resources,info@solarisresources.com,https://solarisresources.com,Copper,,English,,USA
,McEwen Mining,info@mcewenmining.com,https://mcewenmining.com,Copper (Argentina),,English,,USA
,First Quantum Minerals,info@first-quantum.com,https://first-quantum.com,Copper (Argentina),,English,,USA
,Lundin Mining,info@lundinmining.com,https://lundinmining.com,Copper,,English,,USA
,Canada Nickel Company,info@canadanickel.com,https://canadanickel.com,Nickel & Cobalt,,English,,USA
,Talon Metals Corp,info@talonmetals.com,https://talonmetals.com,Nickel,,English,,USA
,Tartisan Nickel,info@tartisannickel.com,https://tartisannickel.com,Nickel,,English,,USA
,Jervois Global,info@jervoisglobal.com,https://jervoisglobal.com,Cobalt,,English,,USA
,Electra Battery Materials,info@electrabmc.com,https://electrabmc.com,Cobalt,,English,,USA
,Red Metal Resources,info@redmetalresources.com,https://redmetalresources.com,Copper & Cobalt,,English,,USA
,Ucore Rare Metals,info@ucore.com,https://ucore.com,Rare Earths,,English,,USA
,Search Minerals,info@searchminerals.ca,https://searchminerals.ca,Rare Earths,,English,,Canada
,Ganfeng Lithium LATAM,info@ganfenglithium.com,https://ganfenglithium.com,Lithium,,English,,USA
,Rio Tinto,info@riotinto.com,https://riotinto.com,Lithium & Copper,,English,,USA
,Critica Limited,admin@critica.limited,https://critica.limited,Critical Metals,,English,,USA
,Triple M Metal LP,info@triplemmetal.com,https://triplemmetal.com,Aluminum Scrap,,English,,USA
,ABC Recycling,info@abcrecycling.com,https://abcrecycling.com,Aluminum Scrap,,English,,USA
,AIM Recycling,info@aim-recycling.com,https://aim-recycling.com,Aluminum Scrap,,English,,USA
,Attar Metals,info@attarmetals.com,https://attarmetals.com,Aluminum Scrap,,English,,USA
,Gerdau Ameristeel,info@gerdau.com,https://gerdau.com,Industrial Recycling,,English,,USA
,Metro Recycling,info@metrorecycling.ca,https://metrorecycling.ca,Aluminum Scrap,,English,,Canada
,Tal Metal Inc.,info@talmetal.ca,https://talmetal.ca,Aluminum Scrap,,English,,Canada
,Peel Scrap Metal,info@peelscrapmetal.com,https://peelscrapmetal.com,Aluminum Scrap,,English,,USA
,Sims Limited,info@simsltd.com,https://simsltd.com,Aluminum Scrap,,English,,USA
,Globe Metal,info@globemetal.com,https://globemetal.com,Industrial Metals,,English,,USA
,Arzyz Metales,info@arzyz.com,https://arzyz.com,Aluminum,,English,,USA
,Reciclar S.A.,info@reciclarsas.com.ar,https://reciclarsas.com.ar,Metal Recycling,,Español,,Argentina
,OmniSource,info@omnisource.com,https://omnisource.com,Aluminum Scrap,,English,,USA
,SA Recycling,info@sarecycling.com,https://sarecycling.com,Aluminum Scrap,,English,,USA
,David J. Joseph (DJJ),info@djj.com,https://djj.com,Scrap Trader,,English,,USA
,Andean Drilling Services,info@andeandrilling.ca,https://andeandrilling.ca,Mining Services,,English,,Canada
,Automation Now,info@automationnow.ca,https://automationnow.ca,Technical Solutions,,English,,Canada
,B & D Manufacturing,sales@bdmfg.com,https://bdmfg.com,Mine Construction,,English,,USA
,B2B Industrial Inc.,sales@b2bii.com,https://b2bii.com,Mine Supplies,,English,,USA
,Belco Custom Containers,info@belcocustom.com,https://belcocustom.com,Modular Mining,,English,,USA
,Borealis,info@borealismining.com,https://borealismining.com,Exploration Services,,English,,USA
,Borgford Equipment,sales@borgfordequipment.ca,https://borgfordequipment.ca,Mining Equipment,,English,,Canada
,CDDA,info@cdda.ca,https://cdda.ca,Industrial Association,,English,,Canada
,Caron Controls Ltd.,info@caroncontrols.ca,https://caroncontrols.ca,Technical Team,,English,,Canada
,Ceres Environmental,info@ceresenv.ca,https://ceresenv.ca,Mining Solutions,,English,,Canada
,Collision Tech Solutions,info@collisionts.com,https://collisionts.com,Safety Dept.,,English,,USA
,Condor Signal & Comm,info@condorsignal.com,https://condorsignal.com,Communication,,English,,USA
,Covergalls Inc.,info@covergalls.com,https://covergalls.com,Safety Gear,,English,,USA
,Creighton Rock Drill,sales@crdl.ca,https://crdl.ca,Drilling Equipment,,English,,Canada
,CTL Critical Logistics,info@ctl-logic.ca,https://ctl-logic.ca,Logistics,,English,,Canada
,DBS Data Buoy Systems,info@databuoy.com,https://databuoy.com,Tech Team,,English,,USA
,Dorland Geomatics,info@dorlandgeomatics.ca,https://dorlandgeomatics.ca,Geomatics,,English,,Canada
,DP Diamond Blades,sales@dpdiamondblades.com,https://dpdiamondblades.com,Sales Dept.,,English,,USA
,Dr Tarp,info@drtarp.com,https://drtarp.com,Industrial Sales,,English,,USA
,Dr. Clean Inc.,info@dr-clean.ca,https://dr-clean.ca,Maintenance Team,,English,,Canada
,Ebert Welding Ltd.,info@ebertwelding.com,https://ebertwelding.com,Welding Tech,,English,,USA
,Equipment North,sales@equipmentnorth.com,https://equipmentnorth.com,Rental Dept.,,English,,USA
,Equipment World Inc.,sales@equipworld.com,https://equipworld.com,Sales Team,,English,,USA
,Fabrithane,info@fabrithane.com,https://fabrithane.com,Sales Dept.,,English,,USA
,FiComm,info@ficomm.ca,https://ficomm.ca,Tech Support,,English,,Canada
,Flowcore Mining,info@flowcore.ca,https://flowcore.ca,Operations,,English,,Canada
,Gillis Custom Containers,info@gilliscontainers.com,https://gilliscontainers.com,Fabrications,,English,,USA
,Hancon Mining,info@hanconmining.ca,https://hanconmining.ca,Contracting,,English,,Canada
,Hardrock Canada Supply,sales@hardrockcanada.ca,https://hardrockcanada.ca,Sales Team,,English,,Canada
,Ionic Technology Group,info@ionictechgroup.com,https://ionictechgroup.com,Engineering,,English,,USA
,Jannatec Technologies,info@jannatec.com,https://jannatec.com,Tech Sales,,English,,USA
,J.L. Richards & Assoc,info@jlrichards.ca,https://jlrichards.ca,Engineering,,English,,Canada
,Kelley's Tech Resources,info@ktr-cw.ca,https://ktr-cw.ca,Technical Sales,,English,,Canada
,Kun Aviation,info@kunaviation.com,https://kunaviation.com,Logistics,,English,,USA
,Kubota Inc.,sales@kubota.ca,https://kubota.ca,Equipment Sales,,English,,Canada
,Laari Bros Contracting,info@laaribros.ca,https://laaribros.ca,General Contr.,,English,,Canada
,Leasemaster,info@leasemaster.ca,https://leasemaster.ca,Fleet Sales,,English,,Canada
,Manulift,info@manulift.ca,https://manulift.ca,Sales Team,,English,,Canada
,Miller Technology,sales@millertechnology.com,https://millertechnology.com,Sales Dept.,,English,,USA
,Mine Tailing Solutions,info@minetailingsolutions.com,https://minetailingsolutions.com,Engineering,,English,,USA
,Minewise Technology,info@jannatec.com,https://minewise.ca,Tech Support,,English,,Canada
,Mirarco Mining,info@mirarco.org,https://mirarco.org,Research Dept.,,English,,USA
,Mobile Parts Inc.,info@mobileparts.com,https://mobileparts.com,Parts Sales,,English,,USA
,Moving Media,info@movingmedia.ca,https://movingmedia.ca,Digital Media,,English,,Canada
,MST Global,info@mst-intl.com,https://mst-intl.com,Tech Sales,,English,,USA
,MX Drilling,info@mxdrilling.com,https://mxdrilling.com,Drilling Dept.,,English,,USA
,Nor-Ont Supply,info@norontsupply.com,https://norontsupply.com,Industrial Sales,,English,,USA
,Noront Solutions,info@norontsolutions.ca,https://norontsolutions.ca,Consulting,,English,,Canada
,NPS (Nuclear Promo Sol),info@nuclearpromotionalsolutions.com,https://nuclearpromotionalsolutions.com,Sales Team,,English,,USA
,Northern Polymer Prod,info@npp-inc.com,https://npp-inc.com,Sales Dept.,,English,,USA
,Oremaster,info@oremaster.com,https://oremaster.com,Software Team,,English,,USA
,PAG Equipment,info@pagequipment.com,https://pagequipment.com,Sales & Service,,English,,USA
,Performance Drilling,info@performancedrilling.ca,https://performancedrilling.ca,Drilling Team,,English,,Canada
,Pinnacle Biz Solutions,info@pinnaclebiz.ca,https://pinnaclebiz.ca,HR Dept.,,English,,Canada
,PMP (Precision Mining),info@precisionmining.ca,https://precisionmining.ca,Engineering,,English,,Canada
,Pneuma-Tool,info@pneumatool.ca,https://pneumatool.ca,Tools Dept.,,English,,Canada
,Pro-Pipe,info@pro-pipe.ca,https://pro-pipe.ca,Operations,,English,,Canada
,Proficient Training,info@proficienttraining.ca,https://proficienttraining.ca,Safety Team,,English,,Canada
,ReadyQuip,sales@readyquip.com,https://readyquip.com,Sales Team,,English,,USA
,Rector Machine Works,info@rectormachine.com,https://rectormachine.com,Machine Shop,,English,,USA
,Rep Giwaydin Security,info@repgiwaydin.com,https://repgiwaydin.com,Security Dept.,,English,,USA
,Rise Controls Inc.,info@risecontrols.com,https://risecontrols.com,Automation,,English,,USA
,Rocvent Inc.,info@rocvent.com,https://rocvent.com,Ventilation,,English,,USA
,SafeSight Exploration,info@safesightxp.com,https://safesightxp.com,Mike Campigotto,,English,,USA
,Shaba Testing Services,info@shabatestingservices.com,https://shabatestingservices.com,Geotechnical,,English,,USA
,Smart Modular Canada,info@smartmod.ca,https://smartmod.ca,Sales Dept.,,English,,Canada
,Sofvie Inc.,info@sofvie.com,https://sofvie.com,Gus Minor,,English,,USA
,Steenhof,info@steenhof.ca,https://steenhof.ca,Engineering,,English,,Canada
,Story Environmental,info@storyenvironmental.com,https://storyenvironmental.com,Envir. Team,,English,,USA
,Stride Systems,info@stride-systems.com,https://stride-systems.com,Operations,,English,,USA
,Superior Strategies Inc.,info@superior-strategies.ca,https://superior-strategies.ca,Admin,,English,,Canada
,Symx.ai,info@symbioticware.com,https://symbioticware.com,Tech Support,,English,,USA
,Synterra Security Sol,info@synterra.ca,https://synterra.ca,Security Team,,English,,Canada
,TBT Engineering,info@tbte.ca,https://tbte.ca,Consulting,,English,,Canada
,Teleco,info@teleco.ca,https://teleco.ca,IT Support,,English,,Canada
,Thunder Bay Hydraulics,sales@thunderbayhydraulics.com,https://thunderbayhydraulics.com,Sales Team,,English,,USA
,Tim McDowell Equipment,sales@tmequipment.ca,https://tmequipment.ca,Sales Dept.,,English,,Canada
,TIME Limited,sales@timeltd.ca,https://timeltd.ca,Mining Sales,,English,,Canada
,Timmins Mechanical Sol,info@timminsmechanicalsolutions.com,https://timminsmechanicalsolutions.com,Shop Manager,,English,,USA
,TKG Group,info@tkggroup.ca,https://tkggroup.ca,Administration,,English,,Canada
,Topsteel,info@topsteel.ca,https://topsteel.ca,Safety Team,,English,,Canada
,Tracks and Wheels,sales@tracksandwheels.com,https://tracksandwheels.com,Sales Dept.,,English,,USA
